Domain,Type,Sponsoring Organisation,Date
.abbott,generic,"Abbott Laboratories, Inc.",2024-02-22
.abogado,generic,Top Level Domain Holdings Limited,2024-02-22
.academy,generic,"Half Oaks, LLC",2024-02-22
.accountant,generic,dot Accountant Limited,2024-02-22
.accountants,generic,"Knob Town, LLC",2024-02-22
.active,generic,"The Active Network, Inc",2024-02-22
.actor,generic,United TLD Holdco Ltd.,2024-02-22
.ads,generic,Charleston Road Registry Inc.,2024-02-22
.adult,generic,ICM Registry AD LLC,2024-02-22
.afl,generic,Australian Football League,2024-02-22
.agency,generic,"Steel Falls, LLC",2024-02-22
.airforce,generic,United TLD Holdco Ltd.,2024-02-22
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,2024-02-22
.alsace,generic,REGION D ALSACE,2024-02-22
.amsterdam,generic,Gemeente Amsterdam,2024-02-22
.android,generic,Charleston Road Registry Inc.,2024-02-22
.apartments,generic,"June Maple, LLC",2024-02-22
.aquarelle,generic,Aquarelle.com,2024-02-22
.archi,generic,STARTING DOT LIMITED,2024-02-22
.army,generic,United TLD Holdco Ltd.,2024-02-22
.associates,generic,"Baxter Hill, LLC",2024-02-22
.attorney,generic,"United TLD Holdco, Ltd",2024-02-22
.auction,generic,"United TLD HoldCo, Ltd.",2024-02-22
.audio,generic,"Uniregistry, Corp.",2024-02-22
.autos,generic,"DERAutos, LLC",2024-02-22
.axa,generic,AXA SA,2024-02-22
.band,generic,"United TLD Holdco, Ltd",2024-02-22
.bank,generic,"fTLD Registry Services, LLC",2024-02-22
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2024-02-22
.barclaycard,generic,Barclays Bank PLC,2024-02-22
.barclays,generic,Barclays Bank PLC,2024-02-22
.bargains,generic,"Half Hallow, LLC",2024-02-22
.bauhaus,generic,Werkhaus GmbH,2024-02-22
.bayern,generic,Bayern Connect GmbH,2024-02-22
.bbc,generic,British Broadcasting Corporation,2024-02-22
.beer,generic,Top Level Domain Holdings Limited,2024-02-22
.berlin,generic,dotBERLIN GmbH & Co. KG,2024-02-22
.best,generic,BestTLD Pty Ltd,2024-02-22
.bid,generic,dot Bid Limited,2024-02-22
.bike,generic,"Grand Hollow, LLC",2024-02-22
.bingo,generic,"Sand Cedar, LLC",2024-02-22
.bio,generic,STARTING DOT LIMITED,2024-02-22
.black,generic,Afilias Limited,2024-02-22
.blackfriday,generic,"Uniregistry, Corp.",2024-02-22
.bloomberg,generic,Bloomberg IP Holdings LLC,2024-02-22
.blue,generic,Afilias Limited,2024-02-22
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft,2024-02-22
.bnpparibas,generic,BNP Paribas,2024-02-22
.boats,generic,"DERBoats, LLC",2024-02-22
.bond,generic,Bond University Limited,2024-02-22
.boo,generic,Charleston Road Registry Inc.,2024-02-22
.boutique,generic,"Over Galley, LLC",2024-02-22
.brussels,generic,DNS.be vzw,2024-02-22
.budapest,generic,Top Level Domain Holdings Limited,2024-02-22
.build,generic,Plan Bee LLC,2024-02-22
.builders,generic,"Atomic Madison, LLC",2024-02-22
.business,generic,"Spring Cross, LLC",2024-02-22
.buzz,generic,DOTSTRATEGY CO.,2024-02-22
.bzh,generic,Association www.bzh,2024-02-22
.cab,generic,"Half Sunset, LLC",2024-02-22
.cafe,generic,"Pioneer Canyon, LLC",2024-02-22
