Domain,Type,Sponsoring Organisation,Date
.abbott,generic,"Abbott Laboratories, Inc.",2024-02-19
.abogado,generic,Top Level Domain Holdings Limited,2024-02-19
.academy,generic,"Half Oaks, LLC",2024-02-19
.accountant,generic,dot Accountant Limited,2024-02-19
.accountants,generic,"Knob Town, LLC",2024-02-19
.active,generic,"The Active Network, Inc",2024-02-19
.actor,generic,United TLD Holdco Ltd.,2024-02-19
.ads,generic,Charleston Road Registry Inc.,2024-02-19
.adult,generic,ICM Registry AD LLC,2024-02-19
.afl,generic,Australian Football League,2024-02-19
.agency,generic,"Steel Falls, LLC",2024-02-19
.airforce,generic,United TLD Holdco Ltd.,2024-02-19
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,2024-02-19
.alsace,generic,REGION D ALSACE,2024-02-19
.amsterdam,generic,Gemeente Amsterdam,2024-02-19
.android,generic,Charleston Road Registry Inc.,2024-02-19
.apartments,generic,"June Maple, LLC",2024-02-19
.aquarelle,generic,Aquarelle.com,2024-02-19
.archi,generic,STARTING DOT LIMITED,2024-02-19
.army,generic,United TLD Holdco Ltd.,2024-02-19
.associates,generic,"Baxter Hill, LLC",2024-02-19
.attorney,generic,"United TLD Holdco, Ltd",2024-02-19
.auction,generic,"United TLD HoldCo, Ltd.",2024-02-19
.audio,generic,"Uniregistry, Corp.",2024-02-19
.autos,generic,"DERAutos, LLC",2024-02-19
.axa,generic,AXA SA,2024-02-19
.band,generic,"United TLD Holdco, Ltd",2024-02-19
.bank,generic,"fTLD Registry Services, LLC",2024-02-19
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2024-02-19
.barclaycard,generic,Barclays Bank PLC,2024-02-19
.barclays,generic,Barclays Bank PLC,2024-02-19
.bargains,generic,"Half Hallow, LLC",2024-02-19
.bauhaus,generic,Werkhaus GmbH,2024-02-19
.bayern,generic,Bayern Connect GmbH,2024-02-19
.bbc,generic,British Broadcasting Corporation,2024-02-19
.beer,generic,Top Level Domain Holdings Limited,2024-02-19
.berlin,generic,dotBERLIN GmbH & Co. KG,2024-02-19
.best,generic,BestTLD Pty Ltd,2024-02-19
.bid,generic,dot Bid Limited,2024-02-19
.bike,generic,"Grand Hollow, LLC",2024-02-19
.bingo,generic,"Sand Cedar, LLC",2024-02-19
.bio,generic,STARTING DOT LIMITED,2024-02-19
.black,generic,Afilias Limited,2024-02-19
.blackfriday,generic,"Uniregistry, Corp.",2024-02-19
.bloomberg,generic,Bloomberg IP Holdings LLC,2024-02-19
.blue,generic,Afilias Limited,2024-02-19
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft,2024-02-19
.bnpparibas,generic,BNP Paribas,2024-02-19
.boats,generic,"DERBoats, LLC",2024-02-19
.bond,generic,Bond University Limited,2024-02-19
.boo,generic,Charleston Road Registry Inc.,2024-02-19
.boutique,generic,"Over Galley, LLC",2024-02-19
.brussels,generic,DNS.be vzw,2024-02-19
.budapest,generic,Top Level Domain Holdings Limited,2024-02-19
.build,generic,Plan Bee LLC,2024-02-19
.builders,generic,"Atomic Madison, LLC",2024-02-19
.business,generic,"Spring Cross, LLC",2024-02-19
.buzz,generic,DOTSTRATEGY CO.,2024-02-19
.bzh,generic,Association www.bzh,2024-02-19
.cab,generic,"Half Sunset, LLC",2024-02-19
.cafe,generic,"Pioneer Canyon, LLC",2024-02-19
.cal,generic,Charleston Road Registry Inc.,2024-02-19
.camera,generic,"Atomic Maple, LLC",2024-02-19
.camp,generic,"Delta Dynamite, LLC",2024-02-19
.cancerresearch,generic,Australian Cancer Research Foundation,2024-02-19
.canon,generic,Canon Inc.,2024-02-19
.capetown,generic,ZA Central Registry NPC trading as ZA Central Registry,2024-02-19
.capital,generic,"Delta Mill, LLC",2024-02-19
.caravan,generic,"Caravan International, Inc.",2024-02-19
.cards,generic,"Foggy Hollow, LLC",2024-02-19
.care,generic,"Goose Cross, LLC",2024-02-19
.career,generic,dotCareer LLC,2024-02-19
.careers,generic,"Wild Corner, LLC",2024-02-19
.cartier,generic,Richemont DNS Inc.,2024-02-19
.casa,generic,Top Level Domain Holdings Limited,2024-02-19
.cash,generic,"Delta Lake, LLC",2024-02-19
.casino,generic,"Binky Sky, LLC",2024-02-19
.catering,generic,New Falls. LLC,2024-02-19
.cbn,generic,"The Christian Broadcasting Network, Inc.",2024-02-19
.center,generic,"Tin Mill, LLC",2024-02-19
.ceo,generic,CEOTLD Pty Ltd,2024-02-19
.cern,generic,"European Organization for Nuclear Research (""CERN"")",2024-02-19
.cfd,generic,DOTCFD REGISTRY LTD,2024-02-19
.channel,generic,Charleston Road Registry Inc.,2024-02-19
.chat,generic,"Sand Fields, LLC",2024-02-19
.cheap,generic,"Sand Cover, LLC",2024-02-19
.chloe,generic,Richemont DNS Inc.,2024-02-19
.christmas,generic,"Uniregistry, Corp.",2024-02-19
.chrome,generic,Charleston Road Registry Inc.,2024-02-19
.church,generic,"Holly Fileds, LLC",2024-02-19
.citic,generic,CITIC Group Corporation,2024-02-19
.city,generic,"Snow Sky, LLC",2024-02-19
.claims,generic,"Black Corner, LLC",2024-02-19
.cleaning,generic,"Fox Shadow, LLC",2024-02-19
.click,generic,"Uniregistry, Corp.",2024-02-19
.clinic,generic,"Goose Park, LLC",2024-02-19
.clothing,generic,"Steel Lake, LLC",2024-02-19
.club,generic,".CLUB DOMAINS, LLC",2024-02-19
.coach,generic,"Koko Island, LLC",2024-02-19
.codes,generic,"Puff Willow, LLC",2024-02-19
.coffee,generic,"Trixy Cover, LLC",2024-02-19
.college,generic,XYZ.COM LLC,2024-02-19
.cologne,generic,NetCologne Gesellschaft für Telekommunikation mbH,2024-02-19
.com,generic,VeriSign Global Registry Services,2024-02-19
.community,generic,"Fox Orchard, LLC",2024-02-19
.company,generic,"Silver Avenue, LLC",2024-02-19
.computer,generic,"Pine Mill, LLC",2024-02-19
.condos,generic,"Pine House, LLC",2024-02-19
.construction,generic,"Fox Dynamite, LLC",2024-02-19
.consulting,generic,"United TLD Holdco, LTD.",2024-02-19
.contractors,generic,"Magic Woods, LLC",2024-02-19
.cooking,generic,Top Level Domain Holdings Limited,2024-02-19
.cool,generic,"Koko Lake, LLC",2024-02-19
.country,generic,Top Level Domain Holdings Limited,2024-02-19
.courses,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD,2024-02-19
.credit,generic,"Snow Shadow, LLC",2024-02-19
.creditcard,generic,"Binky Frostbite, LLC",2024-02-19
.cricket,generic,dot Cricket Limited,2024-02-19
.crs,generic,Federated Co-operatives Limited,2024-02-19
.cruises,generic,"Spring Way, LLC",2024-02-19
.cuisinella,generic,SALM S.A.S.,2024-02-19
.cymru,generic,Nominet UK,2024-02-19
.cyou,generic,"Beijing Gamease Age Digital Technology Co., Ltd.",2024-02-19
.dabur,generic,Dabur India Limited,2024-02-19
.dad,generic,Charleston Road Registry Inc.,2024-02-19
.dance,generic,United TLD Holdco Ltd.,2024-02-19
